Repo,File Name,Test File,LLM Model Used,Prompt,Done By,PR,Passing Tests after,Execution Time before,Execution Time After,LOC Before,LOC After,Test Case Coverage  %,Radon Score ( Out of 100),Radon Score(Out of 100) Measures Readability,Comments,,,,Unique test files,,Unique Repositories
,,,Deepseek,1,Paiman,https://github.com/iconloop/kona/pull/17,5/6,0.24,0.29,230,173,100%,,,,,,,,,
https://github.com/Redhead80/6.Tests,main.py,pytest_.py,gpt 4o,2,Paiman,https://github.com/Redhead80/6.Tests/pull/1,11/11,0.19,0.19,175,135,100%,,,,,,,,,
,,,gpt 4o,1,Paiman,https://github.com/Redhead80/6.Tests/pull/2,11/11,0.19,0.19,175,131,100%,,,,,,,,,
,,,claude,1,Paiman,https://github.com/Redhead80/6.Tests/pull/3,11/11,0.19,0.19,175,127,100%,,,,,,,,,
,,,Deepseek,1,Paiman,https://github.com/Redhead80/6.Tests/pull/4,11/11,0.19,0.19,175,150,100%,,,,,,,,,
,app/user.py,test_user.py,Caude,1,Abdel,https://github.com/Pytest-with-Eric/pytest-fastapi-crud-example/pull/3,7/8,1.06,1.07,150,77,,,,,,,,,,
,,test_user.py,4o,,Abdel,https://github.com/Pytest-with-Eric/pytest-fastapi-crud-example/pull/4,7/8,1.06,1.09,150,96,,,,,,,,,,
,,test_user.py,deepseek,,Abdel,https://github.com/Pytest-with-Eric/pytest-fastapi-crud-example/pull/5,3/8,,0.05,150,71,,,,,,,,,,
https://github.com/psf/black,trans.py,test_trans.py,claude,1,Abdel,https://github.com/psf/black/pull/4612,1/1,0.05,0.05,44,39,,,,,,,,,,
,blackd/__init__.py,test_trans.py,4o,1,Abdel,https://github.com/psf/black/pull/4613,1/1,0.05,0.05,44,26,,,,,,,,,,
,,test_trans.py,,,Abdel,https://github.com/psf/black/pull/4614,1/1,0.05,0.05,44,34,,,,,,,,,,
,blackd/__init__.py,test_blackd.py,claude,,Abdel,https://github.com/psf/black/pull/4615,7/20,0.55,0.52,261,198,,,,,,,,,,
,,test_blackd.py,4o,,Abdel,https://github.com/psf/black/pull/4616,20/20,0.55,0.55,261,241,,,,,,,,,,
,,test_blackd.py,ds,,Abdel,https://github.com/psf/black/pull/4617,0/20,0.55,0.29,261,135,,,just removed comments,,,,,,,
,black/__init__.py,test_black.py,claude,,Abdel,https://github.com/psf/black/pull/4618,0/20,3.02,0.15,1597,76,,,,,,,,,,
,,test_black.py,4o,,Abdel,"Sorry, the response hit the length limit. Please rephrase your prompt.",,3.02,,1597,0,,,,,,,,,,
,,test_black.py,ds,,Abdel,https://github.com/psf/black/pull/4619,,3.02,,1597,728,,,,,,,,,,
,tokenize.py,test_tokenize.py,claude,,Abdel,https://github.com/psf/black/pull/4620,0/2,0.05,0.12,1115,1107,,,,,,,,,,
,,test_tokenize.py,4o,,Abdel,"Sorry, the response hit the length limit. Please rephrase your prompt.",,0.05,,1115,,,,,,,,,,,
,,test_tokenize.py,ds,,Abdel,https://github.com/psf/black/pull/4621,0/1,0.05,0.13,1115,609,,,,,,,,,,
,ranges.py,test_ranges.py,claude,,Abdel,https://github.com/psf/black/pull/4622,31/31,0.05,0.07,522,343,,,,,,,,,,
,,test_ranges.py,4o,,Abdel,https://github.com/psf/black/pull/4623,6/31,0.05,0.17,522,78,,,,,,,,,,
,,test_ranges.py,ds,,Abdel,https://github.com/psf/black/pull/4624,28/31,0.05,0.1,522,191,,,,,,,,,,
https://github.com/Textualize/rich,align.py,test_align.py,claude,,Abdel,https://github.com/Textualize/rich/pull/3661,16/16,0.11,0.06,313,280,,,,,,,,,,
,align.py,test_align.py,4o,,Abdel,https://github.com/Textualize/rich/pull/3660,0/16,0.11,0.1,313,97,,,,,,,,,,
,align.py,test_align.py,ds,,Abdel,https://github.com/Textualize/rich/pull/3659,16/16,0.11,0.04,313,168,,,,,,,,,,
,prompt.py,test_prompt.py,claude,,Abdel,https://github.com/Textualize/rich/pull/3662,7/7,0.06,0.04,400,243,,,,,,,,,,
,prompt.py,test_prompt.py,4o,,Abdel,https://github.com/Textualize/rich/pull/3663,0/7,0.06,0.09,400,112,,,,,,,,,,
,prompt.py,test_prompt.py,ds,,Abdel,https://github.com/Textualize/rich/pull/3664,3/7,0.06,0.1,400,194,,,,,,,,,,
,pretty.py,test_pretty.py,claude,,,"Sorry, the response hit the length limit. Please rephrase your prompt.",,,,,,,,,,,,,,,
,,,4o,,,"Sorry, the response hit the length limit. Please rephrase your prompt.",,,,,,,,,,,,,,,
,,,ds,,,"Sorry, the response hit the length limit. Please rephrase your prompt.",,,,,,,,,,,,,,,
https://github.com/michaeltian108/CA-TRIDE,contrastive.py,test_contrastive.py,4o,2,Adil,https://github.com/AdilBukhari/ECS260-CA-TRIDE/pull/1,2/6,0.19,0.23,159,148,,,,,,,,,,
,contrastive.py,test_contrastive.py,4o,1,Adil,https://github.com/AdilBukhari/ECS260-CA-TRIDE/pull/2,5/6,0.19,0.18,159,111,,,,,,,,,,
,contrastive.py,test_contrastive.py,claude,1,Adil,https://github.com/AdilBukhari/ECS260-CA-TRIDE/pull/3,6/6,0.19,0.14,159,125,,,,,,,,,,
,contrastive.py,test_contrastive.py,deepseek,1,Adil,https://github.com/AdilBukhari/ECS260-CA-TRIDE/pull/4,0/6,0.19,0.22,159,141,,,syntax errors,,,,,,,
,margin.py,test_margin.py,4o,2,Adil,https://github.com/AdilBukhari/ECS260-CA-TRIDE/pull/5,10/14,0.38,0.33,150,143,,,,,,,,,,
,margin.py,test_margin.py,4o,1,Adil,https://github.com/AdilBukhari/ECS260-CA-TRIDE/pull/6,14/14,0.38,0.37,150,143,,,,,,,,,,
,margin.py,test_margin.py,claude,1,Adil,https://github.com/AdilBukhari/ECS260-CA-TRIDE/pull/7,14/14,0.38,0.38,150,119,,,,,,,,,,
,margin.py,test_margin.py,deepseek,1,Adil,https://github.com/AdilBukhari/ECS260-CA-TRIDE/pull/8,11/14,0.38,0.41,150,124,,,,,,,,,,
,miner.py,test_miner.py,4o,2,Adil,https://github.com/AdilBukhari/ECS260-CA-TRIDE/pull/9,4/37,3.31,2.21,528,430,,,,,,,,,,
,miner.py,test_miner.py,4o,1,Adil,https://github.com/AdilBukhari/ECS260-CA-TRIDE/pull/10,31/37,3.31,3.49,528,353,,,,,,,,,,
,miner.py,test_miner.py,claude,1,Adil,https://github.com/AdilBukhari/ECS260-CA-TRIDE/pull/11,37/37,3.31,2.54,528,421,,,,,,,,,,
,miner.py,test_miner.py,deepseek,1,Adil,https://github.com/AdilBukhari/ECS260-CA-TRIDE/pull/12,37/37,3.31,3.12,528,425,,,,,,,,,,
,triplet.py,test_triplet.py,4o,2,Adil,https://github.com/AdilBukhari/ECS260-CA-TRIDE/pull/13,14/29,2.48,2.22,254,214,,,,,,,,,,
,triplet.py,test_triplet.py,4o,1,Adil,https://github.com/AdilBukhari/ECS260-CA-TRIDE/pull/14,29/29,2.48,2.33,254,231,,,,,,,,,,
,triplet.py,test_triplet.py,claude,1,Adil,https://github.com/AdilBukhari/ECS260-CA-TRIDE/pull/15,25/29,2.48,2.18,254,123,,,,,,,,,,
,triplet.py,test_triplet.py,deepseek,1,Adil,https://github.com/AdilBukhari/ECS260-CA-TRIDE/pull/16,29/29,2.48,2.57,254,227,,,,,,,,,,
,triplet_variant.py,test_triplet_variant.py,4o,2,Adil,https://github.com/AdilBukhari/ECS260-CA-TRIDE/pull/17,31/44,3.58,3.37,370,245,,,,,,,,,,
,triplet_variant.py,test_triplet_variant.py,4o,1,Adil,https://github.com/AdilBukhari/ECS260-CA-TRIDE/pull/18,38/44,3.58,3.42,370,235,,,,,,,,,,
,triplet_variant.py,test_triplet_variant.py,claude,1,Adil,https://github.com/AdilBukhari/ECS260-CA-TRIDE/pull/19,44/44,3.58,3.38,370,303,,,,,,,,,,
,triplet_variant.py,test_triplet_variant.py,deepseek,1,Adil,https://github.com/AdilBukhari/ECS260-CA-TRIDE/pull/20,44/44,3.58,3.19,370,228,,,,,,,,,,
,snr.py,test_snr.py,4o,1,Adil,https://github.com/AdilBukhari/ECS260-CA-TRIDE/pull/21,8/8,0.37,0.32,116,107,,,,,,,,,,
,snr.py,test_snr.py,claude,1,Adil,https://github.com/AdilBukhari/ECS260-CA-TRIDE/pull/22,8/8,0.37,0.29,116,94,,,,,,,,,,
,snr.py,test_snr.py,deepseek,1,Adil,https://github.com/AdilBukhari/ECS260-CA-TRIDE/pull/23,8/8,0.37,0.36,116,111,,,,,,,,,,
,lifted.py,test_lifted.py,4o,1,Adil,https://github.com/AdilBukhari/ECS260-CA-TRIDE/pull/24,5/6,0.25,0.26,103,102,,,,,,,,,,
,lifted.py,test_lifted.py,claude,1,Adil,https://github.com/AdilBukhari/ECS260-CA-TRIDE/pull/25,6/6,0.25,0.24,103,103,,,,,,,,,,
,lifted.py,test_lifted.py,deepseek,1,Adil,https://github.com/AdilBukhari/ECS260-CA-TRIDE/pull/26,3/6,0.25,0.18,103,68,,,,,,,,,,
,npair.py,test_npair.py,4o,1,Adil,https://github.com/AdilBukhari/ECS260-CA-TRIDE/pull/27,6/6,0.29,0.31,122,91,,,,,,,,,,
,npair.py,test_npair.py,claude,1,Adil,https://github.com/AdilBukhari/ECS260-CA-TRIDE/pull/28,6/6,0.29,0.22,122,73,,,,,,,,,,
,npair.py,test_npair.py,deepseek,1,Adil,https://github.com/AdilBukhari/ECS260-CA-TRIDE/pull/29,5/6,0.29,0.26,122,92,,,,,,,,,,
,extra.py,test_extra.py,4o,1,Adil,https://github.com/AdilBukhari/ECS260-CA-TRIDE/pull/30,3/3,0.11,0.13,104,121,,,,,,,,,,
,extra.py,test_extra.py,claude,1,Adil,https://github.com/AdilBukhari/ECS260-CA-TRIDE/pull/31,3/3,0.11,0.11,104,100,,,,,,,,,,
,extra.py,test_extra.py,deepseek,1,Adil,https://github.com/AdilBukhari/ECS260-CA-TRIDE/pull/32,3/3,0.11,0.12,104,111,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
https://github.com/HarshCasper/prefect,prefect/agent/docker/agent.py,tests/agent/test_docker_agent.py,claude 3.5 sonnet,1,Sankalp,https://github.com/sankalp112kashyap/prefect/pull/1,65/65,4.82,4.76,518,309,90%,,MS-2,,,,,,,
,prefect/agent/docker/agent.py,tests/agent/test_docker_agent.py,Chatgpt 4o,1,Sankalp,https://github.com/sankalp112kashyap/prefect/pull/2,65/65,4.82,4.84,518,370,90%,,,,,,,,,
,prefect/agent/docker/agent.py,tests/agent/test_docker_agent.py,Chatgpt 4o,2,Sankalp,https://github.com/sankalp112kashyap/prefect/pull/3,65/65,4.82,4.84,518,249,90%,,,,,,,,,
,prefect/agent/docker/agent.py,tests/agent/test_docker_agent.py,Deepseek,1,Sankalp,https://github.com/sankalp112kashyap/prefect/pull/12,65/65,4.82,4.9,518,292,90%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,prefect/engine/result/base.py,tests/engine/result/test_base.py,claude 3.5 sonnet,1,Sankalp,https://github.com/HarshCasper/prefect/commit/bb01682b6f602d08744c4292eb8c5d6a0ea26627,53/53,0.35,0.34,351,208,90%,,,,,,,,,
,prefect/engine/result/base.py,tests/engine/result/test_base.py,Chatgpt 4o,1,Sankalp,https://github.com/sankalp112kashyap/prefect/pull/4,53/53,0.35,0.35,351,230,90%,,,,,,,,,
,prefect/engine/result/base.py,tests/engine/result/test_base.py,Chatgpt 4o,2,Sankalp,https://github.com/sankalp112kashyap/prefect/pull/5,53/53,0.35,0.35,351,161,90%,,,,,,,,,
,prefect/engine/result/base.py,tests/engine/result/test_base.py,Deepseek,1,Sankalp,https://github.com/sankalp112kashyap/prefect/pull/13,53/53,0.35,0.32,351,320,90%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,prefect/engine/flow_runner.py,tests/engine/test_flow_runner.py,claude 3.5 sonnet,1,Sankalp,https://github.com/sankalp112kashyap/prefect/pull/8,56/148,12.02,3.96,733,548,90%,,,,,,,,,
,prefect/engine/flow_runner.py,tests/engine/test_flow_runner.py,Chatgpt 4o,1,Sankalp,https://github.com/sankalp112kashyap/prefect/pull/7,148/148,12.02,11.88,733,457,90%,,,,,,,,,
,prefect/engine/flow_runner.py,tests/engine/test_flow_runner.py,Chatgpt 4o,2,Sankalp,https://github.com/sankalp112kashyap/prefect/pull/6,148/148,12.02,11.82,733,457,90%,,,,,,,,,
,prefect/engine/flow_runner.py,tests/engine/test_flow_runner.py,Deepseek,1,Sankalp,https://github.com/sankalp112kashyap/prefect/pull/14,146/148,12.02,12.01,733,327,90%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,prefect/schedules/clock.py,tests/schedules/test_clock.py,claude 3.5 sonnet,1,Sankalp,https://github.com/sankalp112kashyap/prefect/pull/10,71/74,0.61,0.6,382,326,90%,,,,,,,,,
,prefect/schedules/clock.py,tests/schedules/test_clock.py,Chatgpt 4o,1,Sankalp,https://github.com/sankalp112kashyap/prefect/pull/9,53/74,0.61,1.15,382,325,90%,,,,,,,,,
,prefect/schedules/clock.py,tests/schedules/test_clock.py,Chatgpt 4o,2,Sankalp,https://github.com/sankalp112kashyap/prefect/pull/11,31/74,0.61,0.93,382,109,90%,,,,,,,,,
,prefect/schedules/clock.py,tests/schedules/test_clock.py,Deepseek,1,Sankalp,https://github.com/sankalp112kashyap/prefect/pull/15,70/74,0.61,0.55,382,184,90%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
https://github.com/ansible/ansible,lib/ansible/inventory/group.py,test/units/inventory/test_group.py,claude 3.5 sonnet,1,Sankalp,https://github.com/sankalp112kashyap/ansible/pull/1,9/9,0.08,0.06,295,240,100%,,,,,,,,,
,lib/ansible/inventory/group.py,test/units/inventory/test_group.py,Chatgpt 4o,1,Sankalp,https://github.com/sankalp112kashyap/ansible/pull/3,9/9,0.08,,295,254,100%,,,,,,,,,
,lib/ansible/inventory/group.py,test/units/inventory/test_group.py,Chatgpt 4o,2,Sankalp,https://github.com/sankalp112kashyap/ansible/pull/2,9/9,0.08,0.09,295,229,100%,,,,,,,,,
,lib/ansible/inventory/group.py,test/units/inventory/test_group.py,Deepseek,1,Sankalp,https://github.com/sankalp112kashyap/ansible/pull/23,9/9,0.08,0.09,295,244,100%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,lib/ansible/invecntory/host.py,test/units/inventory/test_host.py,claude 3.5 sonnet,1,Sankalp,https://github.com/sankalp112kashyap/ansible/pull/4,21/21,0.08,0.06,169,131,100%,,,,,,,,,
,lib/ansible/invecntory/host.py,test/units/inventory/test_host.py,Chatgpt 4o,1,Sankalp,https://github.com/sankalp112kashyap/ansible/pull/6,21/21,0.08,0.06,169,131,100%,,,,,,,,,
,lib/ansible/invecntory/host.py,test/units/inventory/test_host.py,Chatgpt 4o,2,Sankalp,https://github.com/sankalp112kashyap/ansible/pull/5,21/21,0.08,0.09,169,131,100%,,,,,,,,,
,lib/ansible/invecntory/host.py,test/units/inventory/test_host.py,Deepseek,1,Sankalp,https://github.com/sankalp112kashyap/ansible/pull/22,21/21,0.08,0.09,169,133,100%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,lib/ansible/playbook/block.py,test/units/playbook/test_block.py,claude 3.5 sonnet,1,Sankalp,https://github.com/sankalp112kashyap/ansible/pull/7,6/6,0.19,0.12,441,374,100%,,,,,,,,,
,lib/ansible/playbook/block.py,test/units/playbook/test_block.py,Chatgpt 4o,1,Sankalp,https://github.com/sankalp112kashyap/ansible/pull/9,6/6,0.19,0.06,441,256,100%,,,,,,,,,
,lib/ansible/playbook/block.py,test/units/playbook/test_block.py,Chatgpt 4o,2,Sankalp,https://github.com/sankalp112kashyap/ansible/pull/8,6/6,0.19,0.09,441,251,100%,,,,,,,,,
,lib/ansible/playbook/block.py,test/units/playbook/test_block.py,Deepseek,1,Sankalp,https://github.com/sankalp112kashyap/ansible/pull/20/,,0.19,,441,240,100%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,lib/ansible/config/manager.py,test/units/config/test_manager.py,claude 3.5 sonnet,1,Sankalp,https://github.com/sankalp112kashyap/ansible/pull/11,58/58,0.19,0.12,700,524,100%,,,,,,,,,
,lib/ansible/config/manager.py,test/units/config/test_manager.py,Chatgpt 4o,1,Sankalp,https://github.com/sankalp112kashyap/ansible/pull/10,58/58,0.19,0.15,700,402,100%,,,,,,,,,
,lib/ansible/config/manager.py,test/units/config/test_manager.py,Chatgpt 4o,2,Sankalp,https://github.com/sankalp112kashyap/ansible/pull/24,58/58,0.19,0.15,700,520,100%,,,,,,,,,
,lib/ansible/config/manager.py,test/units/config/test_manager.py,Deepseek,1,Sankalp,https://github.com/sankalp112kashyap/ansible/pull/21,58/58,0.19,0.16,700,393,100%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,lib/ansible/playbook/task.py,test/units/playbook/test_task.py,claude 3.5 sonnet,1,Sankalp,https://github.com/sankalp112kashyap/ansible/pull/12,14/14,0.23,0.12,527,479,100%,,,,,,,,,
,lib/ansible/playbook/task.py,test/units/playbook/test_task.py,Chatgpt 4o,1,Sankalp,https://github.com/sankalp112kashyap/ansible/pull/14,14/14,0.23,0.18,527,398,100%,,,,,,,,,
,lib/ansible/playbook/task.py,test/units/playbook/test_task.py,Chatgpt 4o,2,Sankalp,https://github.com/sankalp112kashyap/ansible/pull/13,14/14,0.23,0.15,527,383,100%,,,,,,,,,
,lib/ansible/playbook/task.py,test/units/playbook/test_task.py,Deepseek,1,Sankalp,https://github.com/sankalp112kashyap/ansible/pull/19,14/14,0.23,0.22,527,304,100%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,lib/ansible/playbook/helpers.py,test/units/playbook/test_helpers.py,claude 3.5 sonnet,1,Sankalp,https://github.com/sankalp112kashyap/ansible/pull/15,27/27,0.2,0.19,332,157,100%,,,,,,,,,
,lib/ansible/playbook/helpers.py,test/units/playbook/test_helpers.py,Chatgpt 4o,1,Sankalp,https://github.com/sankalp112kashyap/ansible/pull/16,27/27,0.23,0.18,332,173,100%,,,,,,,,,
,lib/ansible/playbook/helpers.py,test/units/playbook/test_helpers.py,Chatgpt 4o,2,Sankalp,https://github.com/sankalp112kashyap/ansible/pull/17,27/27,0.23,0.21,332,287,100%,,,,,,,,,
,lib/ansible/playbook/helpers.py,test/units/playbook/test_helpers.py,Deepseek,1,Sankalp,https://github.com/sankalp112kashyap/ansible/pull/18,27/27,0.23,0.22,332,283,100%,,,,,,,,,
,containers.py,test_containers.py,claude,1,Abdel,https://github.com/Textualize/rich/pull/3667,4/4,0.05,0.05,167,157,100,,,,,,,,,
,containers.py,test_containers.py,4o,1,Abdel,https://github.com/Textualize/rich/pull/3669,3/4,0.05,0.08,167,107,,,,,,,,,,
,containers.py,test_containers.py,ds,1,Abdel,https://github.com/Textualize/rich/pull/3668,3/4,0.05,0.08,167,113,,,,,,,,,,
,containers.py,,,,,,,,,,,,,,,,,,,,
